,country,weight_muslim,religion,lwr_index,rwr_index,gex_index,polalien,PVJ13,PVJ32,lrscale,conspiracy,demidea,authority,lwe11,lwe23,lwe27,F8A2_1,lwe20,lwe8,rwe4,F11_4A4_1,rwe12,F11_4A2_1,rwe14,rwe15,rwe17,F11_4A1_1,F6_3A5_1,F6_4A4_1,F6_4A3_1,F6_4A1_1,F6A4_1,vote_all
4894,3.0,1.0991622209549,5.0,-0.16399999999999998,1.30475,-0.494,4.0,1.3333333333333333,2.4,6.0,9.0,6.0,2.75,,3.0,1.0,4.0,2.0,,5.0,5.0,3.0,2.0,5.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0
4895,3.0,1.0991622209549,2.0,-0.16199999999999998,0.06825,0.638,2.4285714285714284,3.8,3.2,3.0,5.8,2.0,3.1666666666666665,4.0,,2.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,5.0,1.0,5.0,2.0,19.0
4896,3.0,1.0991622209549,5.0,-1.363,0.478,-0.494,4.714285714285714,1.1666666666666667,3.25,9.0,9.2,4.0,3.25,1.0,,1.0,1.0,1.0,1.0,5.0,3.0,5.0,3.0,1.0,,3.0,1.0,1.0,1.0,1.0,1.0,3.0,17.0
4897,3.0,1.0991622209549,4.0,0.194,-0.09349999999999999,-0.24,4.571428571428571,1.0,1.0,,6.4,3.0,1.9166666666666667,,3.0,,4.0,2.0,4.0,4.0,3.0,4.0,3.0,,1.0,1.0,3.0,2.0,1.0,1.0,2.0,3.0,0.0
4898,3.0,1.0991622209549,5.0,0.095,0.1865,0.201,3.142857142857143,1.0,2.4,6.0,4.8,3.0,2.9166666666666665,2.0,3.0,3.0,4.0,,3.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,,16.0
4899,3.0,1.0991622209549,1.0,,,1.036,,1.5,,4.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,5.0,24.0
4900,3.0,1.0991622209549,5.0,-0.6785,-0.49,0.038,2.4285714285714284,1.5,1.4,3.0,4.0,,2.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,
4901,3.0,1.0991622209549,2.0,,,,3.4285714285714284,2.5,3.0,6.0,4.0,3.0,3.25,4.0,2.0,4.0,4.0,4.0,5.0,5.0,4.0,1.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,2.0,2.0,
4902,3.0,1.0991622209549,5.0,,,,3.7142857142857144,4.166666666666667,3.6,6.0,5.6,5.0,2.6666666666666665,3.0,1.0,3.0,4.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,23.0
4903,3.0,1.0991622209549,5.0,0.552,0.7262500000000001,1.404,3.6,3.6666666666666665,,8.0,7.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,5.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,5.0,3.0,3.0,5.0,4.0,16.0
4904,3.0,1.0991622209549,,0.8745,1.22475,1.174,3.0,2.6666666666666665,3.0,6.0,4.6,2.0,3.25,2.0,4.0,3.0,5.0,5.0,4.0,5.0,5.0,4.0,2.0,4.0,4.0,4.0,5.0,3.0,4.0,3.0,4.0,4.0,19.0
4905,3.0,1.0991622209549,5.0,-0.014,0.85375,0.582,3.0,,3.0,8.0,5.8,5.0,2.9166666666666665,4.0,2.0,2.0,3.0,4.0,2.0,4.0,4.0,5.0,4.0,2.0,3.0,2.0,4.0,4.0,3.0,2.0,3.0,2.0,0.0
4906,3.0,1.0991622209549,5.0,0.2665,1.04225,0.051,3.0,4.166666666666667,2.6,6.0,9.2,4.0,3.0833333333333335,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,5.0,3.0,2.0,4.0,4.0,1.0,3.0,2.0,1.0,3.0,17.0
4907,3.0,1.0991622209549,4.0,-0.1965,0.4165,-0.712,4.857142857142857,1.1666666666666667,1.8,11.0,10.0,6.0,3.6666666666666665,3.0,4.0,1.0,3.0,1.0,3.0,5.0,3.0,5.0,5.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,25.0
4908,3.0,1.0991622209549,5.0,-0.036,0.074,0.267,3.142857142857143,1.3333333333333333,1.4,5.0,7.25,5.0,2.6666666666666665,,,2.0,2.0,4.0,,4.0,2.0,4.0,3.0,1.0,2.0,,3.0,2.0,2.0,2.0,3.0,3.0,
4909,3.0,1.0991622209549,1.0,-0.985,-0.6795,0.737,3.4285714285714284,1.0,1.0,7.0,3.2,5.0,2.0833333333333335,1.0,1.0,1.0,1.0,1.0,4.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,4.0,4.0,23.0
4910,3.0,1.0991622209549,2.0,0.14150000000000001,0.351,0.472,2.7142857142857144,3.0,2.4,7.0,8.0,5.0,3.25,2.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,3.0,4.0,3.0,1.0,2.0,4.0,4.0,0.0
4911,3.0,1.0991622209549,2.0,,-0.17475000000000002,0.24,3.0,,1.25,,5.0,,3.5833333333333335,,,,,,,,2.0,4.0,3.0,1.0,1.0,,3.0,1.0,3.0,,,3.0,
4912,3.0,1.0991622209549,5.0,-0.1145,-0.25025,-0.197,3.2857142857142856,1.6666666666666667,1.4,5.0,7.4,6.0,3.5833333333333335,1.0,3.0,1.0,3.0,3.0,4.0,5.0,1.0,4.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,16.0
4913,3.0,1.0991622209549,1.0,0.8925000000000001,-0.09325,0.941,3.0,3.5,3.0,6.0,6.8,4.0,2.8333333333333335,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,1.0,2.0,2.0,3.0,3.0,4.0,,3.0,3.0,0.0
4914,3.0,1.0991622209549,5.0,0.382,0.82075,0.473,3.0,1.8,2.2,6.0,10.0,4.0,3.0833333333333335,3.0,3.0,3.0,5.0,3.0,3.0,,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,0.0
4915,3.0,1.0991622209549,1.0,0.439,-0.41275,-0.35,3.0,1.5,1.2,6.0,5.0,5.0,3.6666666666666665,2.0,3.0,3.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,19.0
4916,3.0,1.0991622209549,5.0,0.46950000000000003,-0.8352499999999999,-0.373,3.7142857142857144,1.6666666666666667,1.2,5.0,6.2,6.0,2.0,2.0,,,5.0,4.0,3.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,21.0
4917,3.0,1.0991622209549,2.0,0.10700000000000001,0.615,0.788,3.0,,3.0,6.0,6.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,17.0
